name,integration_key
DBAdmin - Orion alerts,0
DBAdmin - Orion alerts,197692440e8a4107d00736f748ee677b
*Network - Kelowna - Terago Datacenter - iG334 PRI Down,be69db23c97c4d42bd09dea91ea26c0b
*Network - Kelowna - Terago Datacenter - Cisco Switch Down,d408bef799d8465e9efabf2f592fbf18
Datadog - ClientSite Alerting,3bc11fac65ea4d03c0d0af3aac56da7b
*Network - Vancouver - Seymour Investment - Network Down,e6141bf3aa4c4e03d04c1f8ce8dc168b
*Network - Vancouver - Cathedral Place - UPS Down,059c2d4ab2de4950a90c407c107464f2
*Network - Toronto - Equinix TR2 Datacenter - Cisco Switch Down,a7c384b5ecac4223bfff55eb62403b7a
*ETS - SCCM servers,45358d2220304d5d8c1fc726fa1d3e66
*SysAdmins - Solarwinds Orion,f8db8d67c13b468785d4af7d43570af6
*InfoSec - PulseSecure VPN Appliances - High License Usage Detected,c952df52871749df93eb61b0266a6360
*Network - Waterloo  - Network Down,0c662df822374d0ed00bc0b0b0266213
*Network - Toronto - 40 King - PaloAlto Firewall Down,4720154893374e39876398691bdd87ea
*Network - IFS - PaloAlto PA200 PA220 Down,f847429f4bfe4762a41be6b456eaf04b
*Network - VOIP - Voice PRI Gateway Down,4e88583b45224bad92bde87e697f733b
*Network - Toronto - Equinix TR2 Datacenter - SpeakerBus ICS Down,cecd5ce4102b48fc855a0eed2e9307ac
*Network - Burnaby -  Metrotown -Network Down,729a68fa3a164209d0a30cc7bbecf247
*Network -  Burnaby - BCP - Cisco Switch Down,7ba16452f4204e0381100c31dc0b91dc
*Network - Switch Stack - Down,0
SysAdmin - OneView,0
*Network - Toronto - 40 King - PDU Down,5f3f4680792a4334bdcad17a704382fa
*SysAdmin - Test Service Down,3e2b1c814d0844c6ae9f9087743a4ad4
*Network - Cisco ISR Down,9e54dc13f62546329c81ed0c76e39a20
*Network - Calgary - 8th Avenue - Cisco Switch Down,97bbcb2e290a432788c89a88e8089b97
*SysAdmins - vRealize Datastore Alerts,0
*SysAdmins - HP Nimble SAN Alerts,0
Datadog - MobileIron Enrollment Alerting,e591e5edcc544205d07eee8dbb9bcc2b
*Network  -  Victoria  - Network Down,5437471d20774406d01ddcb13041c2b1
*InfoSec - Gigamon Node Down,8d2b684a7742412bbce3cef775da9dc3
APC,0
SQL Job Failures,0
*InfoSec - PulseSecure VPN Appliances,fc54f2da9f41453cb9c0df7bfbe15559
*SysAdmins - HP 3PAR SSMC Alerts,0
*Network - Kelowna - Terago Datacenter - PDU Down,7c03359797df48c39a2deb41648d61a9
*Network - Toronto - Equinix TR2 Datacenter - Cisco ASR Down,3cec3a7c21604b7ca8c69d8707c12ea0
*Network - Vancouver - Cathedral Place - Palo Alto Firewalls Down,268363b6d3b04027817a5bfa6dd58f85
*Network - SpeakerBus ESXI Host Down,6c65b509637b4858a555ece4fab183de
*Network  -  Burnaby - BCP  LAB - Network Down,11d6749d5fa94e05d09edd91dec66153
*Network - Toronto - 100 Yonge - UPS Down,2cc3e622cfc743748a821ed15e289c64
*Network - Kelowna - Terago Datacenter - PaloAlto Firewall Down,f90e22e90ad148df9977e96e0adaf4d5
*Network - RJCS - PaloAlto PA200 PA220 Down,c156cf921bdb4dd2ba7f0106373b4cb0
*Network - Toronto - 200 King - Cisco Switch Down,4ccffbc6b8ca4c94b460280513b7401a
*Network - Kelowna - Terago Datacenter - SpeakerBus ICS Down,7badff2f93d943b7affe859b62444205
*Network - Toronto - Equinix TR2 Datacenter - F5 Load Balancer Down,535c5bb1cd1642c9b6c5543d60d9bd17
*Network - Toronto - 40 King - Cisco Switch Down,55d8056e03bb43d29ab9b15529267172
*Network - Vancouver - Cathedral Place - Cisco ASR Down,24fd31efd9e5444688bf20b5884470ef
*Network - Palo Alto Panorama Down,1951a5f37cf348e18b63ab254ffbdf67
*Network - Vancouver - Cypress Capital - Network Down,e226415202b8430fc0227d01ed336424
*Network - Kelowna - Terago Datacenter - F5 Load Balancer Down,7c2441a3a3944fcb91d96d23a51a53a5
Datadog - RSA Self Service Alerting,eb4bbc6e1fff460ac04fbadba0d51930
*Network - Toronto - Equinix TR2 Datacenter - Palo Alto Firewall Down,3a88d9995cf1498a893212eebe521d50
*Network - Vancouver - Cathedral Place - Network Down,cc0783725bbb4f61b139ecb402d4bd74
*Network - Toronto - 40 King - Cougar - Cisco Switch Down,415a8259a1ce440390b4e5997640d000
*Network - Test - Test - Test Down,5ca715517e71490dc07e4fec33eb64d9
*SysAdmins - BMC Alerts,0
SysAdmin - Orion,0
*Network - Toronto - Equinix TR2 Datacenter - PDU Down,05cf6abdb44d4d358c44ddd78333e7b6
*Network - Toronto - 100 Yonge - Cisco Switch Down,14603672cbc94ebaa9365898c12cf267
Datadog - PulseSecure Alerting,acc116ffebd94dfe866c6a9e7ec6a7f5
*Network - Toronto - Equinix TR2 Datacenter - iG334 PRI Down,1d7151aea97c42aba1a03e1275a6bb18
*Network - IAS - PaloAlto PA200 PA220 Down,9310229c8ec14c6bbf0580d93a5b2cad
